id	qihao	riqi	shunxu1	shunxu2	shunxu3	shunxu4	shunxu5	shunxu6	lan	hsorts	hmd5	amd5
139	204050	2004-06-27	19	25	6	7	21	29	2	6,7,19,21,25,29	1a305b2cf5380350c2b861231af32c87	9043f48b799f61e467063ad57c29ed06
140	204051	2004-07-01	29	10	15	9	2	3	11	2,3,9,10,15,29	a5894987831a4373a07fb74e0d3f2e43	67b79d18573ccde2b83c83e99babe48f
141	204052	2004-07-04	15	29	17	1	14	12	9	1,12,14,15,17,29	5b4f30860c2f437ceb96d8a3a0b7b629	98a8cc64ec85f5a6c50e0ff329f379d8
142	204053	2004-07-08	25	4	2	9	24	3	2	2,3,4,9,24,25	45d335769123b54e729060fb31dee411	3f67ea91d44c42cb5c8101d541a128ca
143	204054	2004-07-11	9	28	11	16	14	27	11	9,11,14,16,27,28	eb14ec40ba13a3fce04d7eaef1fbfac2	f6a7ef7c572a060fbd572e4ef30fb92b
144	204055	2004-07-15	32	25	8	19	6	29	7	6,8,19,25,29,32	d143ff25f12fdd0c7f5222a6a93ffba5	0fdbe5d90449e33108ddcdc132633ed9
145	204056	2004-07-18	20	1	30	29	25	21	2	1,20,21,25,29,30	0d2fcfb86697e2356b1df85828712417	47587ceb7dce23c9944587818880e1cc
146	204057	2004-07-22	25	23	28	5	32	21	4	5,21,23,25,28,32	51a814488bd0a168c8f364e13d7286d3	bb019a306f52a07851c45e98af1f7ac2
147	204058	2004-07-25	12	27	1	8	31	11	12	1,8,11,12,27,31	6550f6273601dc7064b1df6cf52a1dea	3d7b2e9a61d97b00f91683afa8fa53b8
148	204059	2004-07-29	11	23	4	26	7	19	10	4,7,11,19,23,26	49ba4ce62aed6edda5a0675e289d9540	102cf64622f769e9de721c436fcb6360
149	204060	2004-08-01	27	24	28	11	3	5	15	3,5,11,24,27,28	c5d6046bfb41edcd19f26972f5149edd	f92ab4b4fed98b1b5b1be944557e68ff
150	204061	2004-08-05	16	23	19	13	33	20	9	13,16,19,20,23,33	ad88920f1a62be64fc0f3c51a25d435e	699631a418aff3ca97155646b1d84b6f
151	204062	2004-08-08	1	27	25	28	29	12	13	1,12,25,27,28,29	f710dc41a16729464dfe2831e4c111f9	7b869516345974063e80457b78370033
152	204063	2004-08-12	16	7	28	13	10	27	7	7,10,13,16,27,28	cd3ca4dc0e2e2736500921196a97c851	7e2b4642945410b18b29632cc438e51c
153	204064	2004-08-15	18	14	15	31	20	27	4	14,15,18,20,27,31	26f060ed91e7b581e3be1b2285ac710b	47c202b1cb8421e714fc124e3affbfb9
154	204065	2004-08-19	13	14	32	29	33	27	8	13,14,27,29,32,33	a0355bdc4c6d3a196a4ee6f1a2131015	6666c8e664412094a6fd026d9ac88eab
155	204066	2004-08-22	23	24	25	13	5	20	3	5,13,20,23,24,25	19b0fa414892f2956c7e1c288ea83b9d	52d0a72c309d69cb813331979c041425
156	204067	2004-08-24	6	1	13	32	16	7	4	1,6,7,13,16,32	8dff3e2ec93cc81f33ad35eb6d0f9406	86f3c01488f398c2b48e9b702c7bc794
157	204068	2004-08-26	31	11	24	2	13	8	15	2,8,11,13,24,31	81ac1f07f29d8c6fcc3ef75d1eed4e24	39820b81742c69a3e91067ab17f44312
158	204069	2004-08-29	2	20	29	22	11	15	5	2,11,15,20,22,29	8d852286ef021f1fcfd225c16d378d2b	360b432671b6e06b1858dca1c247764f
159	204070	2004-08-31	21	33	30	10	22	12	6	10,12,21,22,30,33	a1c7c4ab61fdbf0888db7fd5b157cc49	00f822b60d61b19c5ce7f91d655bcdee
160	204071	2004-09-02	21	3	8	16	17	29	6	3,8,16,17,21,29	19a0cad669cab080153d081c0feac92b	c40440c60f84c13dc1e11267b356545a
161	204072	2004-09-05	33	30	15	28	8	18	14	8,15,18,28,30,33	815e9d929598318eed1c7d251d3251f9	249e2642949de6a16192aa18b5b1e6b1
162	204073	2004-09-07	16	7	23	28	2	13	16	2,7,13,16,23,28	a729d619062c4186b6ce86d57409d158	e7f7aa1fffbca72a9900ff36787609b0
163	204074	2004-09-09	19	26	6	15	5	29	13	5,6,15,19,26,29	db9f965a93846f283864e8c318fdbeb8	081fa0358bb0516c8f6c76a8bdb5f629
164	204075	2004-09-12	27	7	21	18	26	28	7	7,18,21,26,27,28	3bceba9fdc207bd018e228706fd7a6e8	90c0ea7e0c8fbef810c29feec6c8c695
165	204076	2004-09-14	17	13	3	25	5	31	7	3,5,13,17,25,31	36b4f2a358e04fdcef2bcb40ad0e27cc	2df70c6aff13973b9928a5d7f3e6ceef
166	204077	2004-09-16	8	10	9	26	14	16	7	8,9,10,14,16,26	37ba1c1f31aa5b6cb0f156e83d5c856a	4663a7968016a3235f18a6be8de820b5
167	204078	2004-09-19	4	24	21	26	10	5	5	4,5,10,21,24,26	27a147f0278fdcd7a467068ef87ba66d	1e2238cec83f5f483abe84f83ff8bb12
